# name: US-counties-internet
# source: https://raw.githubusercontent.com/eepsmedia/eeps-data-zoo/main/cages/US-counties-internet.csv
# importDate: 2026-01-29T15:54:27.920Z
# description: internet access in US Counties, probably 2023 
# attribute -- name: NAME, description: county or region name, type: categorical, editable: true
# attribute -- name: population, type: numeric, editable: true
# attribute -- name: median_income, type: numeric, editable: true
# attribute -- name: with_internet, description: percent of households with internet, type: numeric, editable: true
# attribute -- name: type, description: urban or rural...note that "mostly urban" means that most of the _people_ live in cities, editable: true
NAME,population,median_income,with_internet,type
"Autauga, Alabama",55200,58786,80.9708738,Mostly Urban
"Baldwin, Alabama",208107,55962,83.1662893,Mostly Urban
"Barbour, Alabama",25782,34186,65.8937514,Mostly Rural
"Bibb, Alabama",22527,45340,70.7602339,Mostly Rural
"Blount, Alabama",57645,48695,72.6504854,Mostly Rural
"Bullock, Alabama",10352,32152,68.052092,Mostly Rural
"Butler, Alabama",20025,39109,66.3536076,Mostly Rural
"Calhoun, Alabama",115098,45197,78.0560922,Mostly Urban
"Chambers, Alabama",33826,39872,69.18467,Mostly Urban
"Cherokee, Alabama",25853,41014,73.9864228,Mostly Rural
"Chilton, Alabama",43930,45182,67.1900185,Mostly Rural
"Choctaw, Alabama",13075,34884,64.1495327,Rural
"Clarke, Alabama",24387,36127,58.506091,Mostly Rural
"Clay, Alabama",13378,41225,71.1802903,Rural
"Cleburne, Alabama",14938,40188,66.0146699,Rural
"Coffee, Alabama",51288,53155,80.8934256,Mostly Urban
"Colbert, Alabama",54495,47558,74.1226662,Mostly Urban
"Conecuh, Alabama",12514,33177,50.9182335,Mostly Rural
"Coosa, Alabama",10855,38301,67.9015355,Rural
"Covington, Alabama",37351,40601,71.8683369,Mostly Rural
"Crenshaw, Alabama",13865,39812,64.0995025,Rural
"Cullman, Alabama",82313,42558,74.6339082,Mostly Rural
"Dale, Alabama",49255,45960,78.8644885,Mostly Rural
"Dallas, Alabama",40029,31602,67.0053869,Mostly Urban
"DeKalb, Alabama",71200,39233,70.8671361,Mostly Rural
"Elmore, Alabama",81212,59347,82.8294959,Mostly Rural
"Escambia, Alabama",37328,35000,59.859994,Mostly Rural
"Etowah, Alabama",102939,44023,78.2396782,Mostly Urban
"Fayette, Alabama",16585,37458,71.138621,Mostly Rural
"Franklin, Alabama",31542,40459,64.353256,Mostly Rural
"Geneva, Alabama",26491,38142,72.3924039,Mostly Rural
"Greene, Alabama",8426,21804,47.3434856,Rural
"Hale, Alabama",14887,30571,59.1905267,Mostly Rural
"Henry, Alabama",17124,48610,74.8538012,Mostly Rural
"Houston, Alabama",104352,45496,74.1599368,Mostly Urban
"Jackson, Alabama",52094,39816,71.7298555,Mostly Rural
"Jefferson, Alabama",659892,51979,80.8308166,Mostly Urban
"Lamar, Alabama",13933,36756,66.4044191,Rural
"Lauderdale, Alabama",92585,46265,74.5858649,Mostly Urban
"Lawrence, Alabama",33171,44515,67.067364,Mostly Rural
"Lee, Alabama",159287,48056,85.3030839,Mostly Urban
"Limestone, Alabama",93052,56460,81.9367491,Mostly Rural
"Lowndes, Alabama",10236,30833,53.6363636,Rural
"Macon, Alabama",19054,32074,64.9076863,Mostly Rural
"Madison, Alabama",357560,63417,87.0153384,Mostly Urban
"Marengo, Alabama",19538,32809,60.6204943,Mostly Rural
"Marion, Alabama",29965,35392,69.4235179,Mostly Rural
"Marshall, Alabama",95145,42490,77.4501376,Mostly Rural
"Mobile, Alabama",414659,46166,75.9957903,Mostly Urban
"Monroe, Alabama",21512,30141,47.0978034,Mostly Rural
"Montgomery, Alabama",226941,47990,80.9840263,Mostly Urban
"Morgan, Alabama",119122,49751,77.5073391,Mostly Urban
"Perry, Alabama",9486,23561,49.3991556,Rural
"Pickens, Alabama",20298,37458,66.1487384,Rural
"Pike, Alabama",33403,34678,63.8434225,Mostly Rural
"Randolph, Alabama",22574,41449,72.440125,Mostly Rural
"Russell, Alabama",58213,40978,73.1486368,Mostly Urban
"St. Clair, Alabama",87306,54887,80.156658,Mostly Rural
"Shelby, Alabama",211261,75761,89.3396997,Mostly Urban
"Sumter, Alabama",12985,23132,60.332871,Rural
"Talladega, Alabama",80565,41012,73.6109784,Mostly Rural
"Tallapoosa, Alabama",40636,43361,73.0179961,Mostly Rural
"Tuscaloosa, Alabama",206213,52221,82.0306995,Mostly Urban
"Walker, Alabama",64493,41748,71.9444001,Mostly Rural
"Washington, Alabama",16643,40794,67.2548693,Rural
"Wilcox, Alabama",10809,27237,55.7045216,Rural
"Winston, Alabama",23875,38504,68.063384,Mostly Rural
"Aleutians East Borough, Alaska",3425,69706,71.627907,Rural
"Aleutians West Census Area, Alaska",5750,85517,80.3571429,Rural
"Anchorage Municipality, Alaska",296112,83280,91.7164207,Mostly Urban
"Bethel Census Area, Alaska",18040,54212,75.3620009,Mostly Rural
"Bristol Bay Borough, Alaska",890,84688,86.4864865,Rural
"Denali Borough, Alaska",2232,84196,92.0187793,Rural
"Dillingham Census Area, Alaska",4975,58750,78.5915493,Rural
"Fairbanks North Star Borough, Alaska",99653,77095,88.4534275,Mostly Urban
"Haines Borough, Alaska",2518,64342,90.545809,Rural
"Hoonah-Angoon Census Area, Alaska",2132,63603,73.3416771,Rural
"Juneau City and Borough, Alaska",32330,88213,92.2210686,Mostly Urban
"Kenai Peninsula Borough, Alaska",58220,66684,82.3237202,Mostly Rural
"Ketchikan Gateway Borough, Alaska",13804,70356,88.1171391,Mostly Urban
"Kodiak Island Borough, Alaska",13649,78281,85.204665,Mostly Urban
"Kusilvak Census Area, Alaska",8198,35539,63.7115839,Rural
"Lake and Peninsula Borough, Alaska",1375,46406,63.7647059,Rural
"Matanuska-Susitna Borough, Alaska",103464,75905,89.280741,Mostly Rural
"Nome Census Area, Alaska",9925,58987,75.4086957,Mostly Rural
"North Slope Borough, Alaska",9797,75431,72.6347915,Mostly Rural
"Northwest Arctic Borough, Alaska",7734,62949,72.5268817,Mostly Rural
"Petersburg Borough, Alaska",3255,66907,81.4529915,Rural
"Prince of Wales-Hyder Census Area, Alaska",6474,54191,71.2224109,Rural
"Sitka City and Borough, Alaska",8738,71534,86.9418703,Mostly Urban
"Skagway Municipality, Alaska",1061,72237,90.75,Rural
"Southeast Fairbanks Census Area, Alaska",6876,71541,76.9301896,Rural
"Valdez-Cordova Census Area, Alaska",9301,82306,82.6705464,Rural
"Wrangell City and Borough, Alaska",2484,57583,77.2811918,Rural
"Yakutat City and Borough, Alaska",689,65833,71.5517241,Rural
"Yukon-Koyukuk Census Area, Alaska",5415,40000,47.7439664,Rural
"Apache, Arizona",71522,32963,40.936504,Mostly Rural
"Cochise, Arizona",126279,48649,81.4822335,Mostly Urban
"Coconino, Arizona",140217,57616,81.6376174,Mostly Urban
"Gila, Arizona",53400,42092,68.113138,Mostly Urban
"Graham, Arizona",37879,51352,76.785383,Mostly Urban
"Greenlee, Arizona",9504,60962,79.0697674,Mostly Urban
"La Paz, Arizona",20701,33333,65.9447935,Mostly Rural
"Maricopa, Arizona",4253913,61606,87.382025,Mostly Urban
"Mohave, Arizona",206064,43266,81.3429257,Mostly Urban
"Navajo, Arizona",108705,40054,64.3183073,Mostly Rural
"Pima, Arizona",1019722,51037,86.8508158,Mostly Urban
"Pinal, Arizona",419721,55550,84.9270865,Mostly Urban
"Santa Cruz, Arizona",46584,40467,72.8451069,Mostly Urban
"Yavapai, Arizona",224645,50180,83.9063818,Mostly Urban
"Yuma, Arizona",207829,44058,79.5440432,Mostly Urban
"Arkansas, Arkansas",18124,39466,68.7581359,Mostly Urban
"Ashley, Arkansas",20537,39635,65.344283,Mostly Rural
"Baxter, Arkansas",41219,41481,78.2743604,Mostly Rural
"Benton, Arkansas",258980,64141,83.7204372,Mostly Urban
"Boone, Arkansas",37288,43262,80.8338937,Mostly Rural
"Bradley, Arkansas",10948,39510,69.3189332,Mostly Urban
"Calhoun, Arkansas",5202,44022,65.5991736,Rural
"Carroll, Arkansas",27887,43505,73.3894812,Mostly Rural
"Chicot, Arkansas",10826,33051,63.6258124,Mostly Rural
"Clark, Arkansas",22385,39752,74.1798942,Mostly Rural
"Clay, Arkansas",15061,33935,69.0265487,Mostly Rural
"Cleburne, Arkansas",25230,43391,74.9976703,Mostly Rural
"Cleveland, Arkansas",8226,42460,60.5407047,Rural
"Columbia, Arkansas",23892,36148,66.915867,Mostly Rural
"Conway, Arkansas",20906,41196,65.5457227,Mostly Rural
"Craighead, Arkansas",105701,45868,84.6151961,Mostly Urban
"Crawford, Arkansas",62472,46619,75.4145395,Mostly Rural
"Crittenden, Arkansas",49013,39002,74.6694391,Mostly Urban
"Cross, Arkansas",16998,43838,70.227069,Mostly Rural
"Dallas, Arkansas",7432,36628,65.1500165,Mostly Rural
"Desha, Arkansas",11887,30234,53.2772452,Mostly Urban
"Drew, Arkansas",18502,43014,73.1404959,Mostly Urban
"Faulkner, Arkansas",122416,51930,82.7758249,Mostly Urban
"Franklin, Arkansas",17780,39463,68.2941176,Mostly Rural
"Fulton, Arkansas",12139,36184,72.38,Mostly Rural
"Garland, Arkansas",98296,43146,79.7337946,Mostly Urban
"Grant, Arkansas",18086,51920,78.3038348,Mostly Rural
"Greene, Arkansas",44623,47497,80.099532,Mostly Urban
"Hempstead, Arkansas",22018,41355,70.3926734,Mostly Rural
"Hot Spring, Arkansas",33520,41262,71.3985618,Mostly Rural
"Howard, Arkansas",13389,35900,69.0541601,Mostly Rural
"Independence, Arkansas",37264,43523,72.189515,Mostly Rural
"Izard, Arkansas",13559,40218,75.1435928,Rural
"Jackson, Arkansas",17225,33174,66.7760459,Mostly Rural
"Jefferson, Arkansas",70424,38289,63.1204359,Mostly Urban
"Johnson, Arkansas",26291,37170,68.6734694,Mostly Rural
"Lafayette, Arkansas",6915,32412,59.4263729,Rural
"Lawrence, Arkansas",16669,38528,70.5711223,Mostly Rural
"Lee, Arkansas",9398,28367,56.9212411,Mostly Rural
"Lincoln, Arkansas",13695,45166,65.4018445,Rural
"Little River, Arkansas",12417,45388,68.6029412,Mostly Rural
"Logan, Arkansas",21757,39748,73.4877127,Mostly Rural
"Lonoke, Arkansas",72206,57509,81.2602352,Mostly Urban
"Madison, Arkansas",16076,43891,68.5068604,Rural
"Marion, Arkansas",16438,35518,76.5482081,Rural
"Miller, Arkansas",43759,41903,77.3525197,Mostly Urban
"Mississippi, Arkansas",42831,37237,75.455945,Mostly Urban
"Monroe, Arkansas",7249,35190,58.5688515,Mostly Rural
"Montgomery, Arkansas",8993,37855,65.3549588,Rural
"Nevada, Arkansas",8440,37635,57.2812595,Mostly Rural
"Newton, Arkansas",7848,39896,63.9530873,Rural
"Ouachita, Arkansas",24106,34887,65.9075087,Mostly Rural
"Perry, Arkansas",10322,46071,68.7702265,Rural
"Phillips, Arkansas",19034,29263,64.0570819,Mostly Urban
"Pike, Arkansas",10808,37406,65.4803443,Rural
"Poinsett, Arkansas",24054,39277,74.6317686,Mostly Rural
"Polk, Arkansas",20163,37035,70.6118966,Mostly Rural
"Pope, Arkansas",63644,41914,75.0972247,Mostly Rural
"Prairie, Arkansas",8244,41846,63.3559854,Rural
"Pulaski, Arkansas",393463,50093,80.4822928,Mostly Urban
"Randolph, Arkansas",17603,36870,71.3615023,Mostly Rural
"St. Francis, Arkansas",26294,35356,59.5986694,Mostly Rural
"Saline, Arkansas",118009,62152,84.2491515,Mostly Urban
"Scott, Arkansas",10442,35509,60.233463,Mostly Rural
"Searcy, Arkansas",7923,36390,65.7291348,Rural
"Sebastian, Arkansas",127461,43240,77.675153,Mostly Urban
"Sevier, Arkansas",17193,46667,74.8548001,Mostly Rural
"Sharp, Arkansas",17043,33708,68.6973076,Mostly Rural
"Stone, Arkansas",12446,36162,69.3177231,Rural
"Union, Arkansas",39732,44000,66.7567907,Mostly Rural
"Van Buren, Arkansas",16684,36897,66.6374781,Rural
"Washington, Arkansas",228529,49629,85.0298634,Mostly Urban
"White, Arkansas",78804,43822,76.7180398,Mostly Rural
"Woodruff, Arkansas",6660,31023,56.8858131,Rural
"Yell, Arkansas",21573,42361,70.1508477,Mostly Rural
"Alameda, California",1643700,92574,90.2752806,Mostly Urban
"Alpine, California",1146,64688,89.2976589,Rural
"Amador, California",37829,61198,85.7771469,Mostly Rural
"Butte, California",227075,48443,86.5179672,Mostly Urban
"Calaveras, California",45235,58151,82.9304702,Mostly Rural
"Colusa, California",21464,56704,79.2773794,Mostly Urban
"Contra Costa, California",1133247,93712,92.1909773,Mostly Urban
"Del Norte, California",27424,45258,82.5900602,Mostly Urban
"El Dorado, California",186661,80582,88.9868733,Mostly Urban
"Fresno, California",978130,51261,81.630469,Mostly Urban
"Glenn, California",27897,47395,73.9343117,Mostly Urban
"Humboldt, California",135768,45528,84.7494794,Mostly Urban
"Imperial, California",180216,45834,77.6721066,Mostly Urban
"Inyo, California",18085,52874,83.2116788,Mostly Urban
"Kern, California",883053,52479,80.6616327,Mostly Urban
"Kings, California",150075,53865,80.980461,Mostly Urban
"Lake, California",64148,42475,75.8684433,Mostly Urban
"Lassen, California",31185,56362,80.1748657,Mostly Rural
"Los Angeles, California",10098052,64251,85.6131483,Mostly Urban
"Madera, California",155013,52884,80.2162694,Mostly Urban
"Marin, California",260295,110217,93.1169127,Mostly Urban
"Mariposa, California",17540,51199,81.8571429,Rural
"Mendocino, California",87422,49233,81.8304488,Mostly Urban
"Merced, California",269075,50129,83.0188679,Mostly Urban
"Modoc, California",8938,45149,72.0765027,Mostly Rural
"Mono, California",14174,63018,87.0847947,Mostly Urban
"Monterey, California",433212,66676,83.6313585,Mostly Urban
"Napa, California",140530,84753,89.9534998,Mostly Urban
"Nevada, California",99092,63240,87.8495991,Mostly Urban
"Orange, California",3164182,85398,91.7550149,Mostly Urban
"Placer, California",380077,84357,91.2434861,Mostly Urban
"Plumas, California",18699,53270,79.694296,Mostly Rural
"Riverside, California",2383286,63948,87.4676515,Mostly Urban
"Sacramento, California",1510023,63902,88.7181477,Mostly Urban
"San Benito, California",59416,81977,90.8737317,Mostly Urban
"San Bernardino, California",2135413,60164,86.7089099,Mostly Urban
"San Diego, California",3302833,74855,90.8951903,Mostly Urban
"San Francisco, California",870044,104552,88.7417182,Mostly Urban
"San Joaquin, California",732212,61145,83.4276465,Mostly Urban
"San Luis Obispo, California",281455,70699,89.3113173,Mostly Urban
"San Mateo, California",765935,113776,91.75704,Mostly Urban
"Santa Barbara, California",443738,71657,88.7080752,Mostly Urban
"Santa Clara, California",1922200,116178,93.0934267,Mostly Urban
"Santa Cruz, California",273765,78041,89.1265299,Mostly Urban
"Shasta, California",179085,50905,82.8019241,Mostly Urban
"Sierra, California",2930,48125,75.1007252,Mostly Rural
"Siskiyou, California",43540,44200,81.0406605,Mostly Rural
"Solano, California",438530,77609,90.950378,Mostly Urban
"Sonoma, California",501317,76753,90.5180655,Mostly Urban
"Stanislaus, California",539301,57387,85.0737193,Mostly Urban
"Sutter, California",95872,56955,84.6137206,Mostly Urban
"Tehama, California",63373,42899,75.4131113,Mostly Rural
"Trinity, California",12862,38497,69.7377502,Rural
"Tulare, California",460477,47518,77.3118011,Mostly Urban
"Tuolumne, California",53932,56493,82.2535337,Mostly Urban
"Ventura, California",848112,84017,88.6264591,Mostly Urban
"Yolo, California",214977,65923,89.7837029,Mostly Urban
"Yuba, California",75493,52624,83.7732534,Mostly Urban
"Adams, Colorado",497115,67575,85.0681156,Mostly Urban
"Alamosa, Colorado",16444,39191,76.9705835,Mostly Urban
"Arapahoe, Colorado",636671,73925,91.3760371,Mostly Urban
"Archuleta, Colorado",12908,50753,84.3915344,Mostly Rural
"Baca, Colorado",3563,37500,73.0207065,Rural
"Bent, Colorado",5809,34392,76.3188073,Mostly Urban
"Boulder, Colorado",321030,78642,92.7701082,Mostly Urban
"Broomfield, Colorado",66120,89624,94.899143,Mostly Urban
"Chaffee, Colorado",19164,54580,85.9889419,Mostly Urban
"Cheyenne, Colorado",2039,55227,81.8059299,Rural
"Clear Creek, Colorado",9379,69936,88.75,Rural
"Conejos, Colorado",8142,34746,66.6883963,Rural
"Costilla, Colorado",3687,30593,62.2999407,Rural
"Crowley, Colorado",5630,37586,79.2294807,Rural
"Custer, Colorado",4640,44644,87.2779645,Rural
"Delta, Colorado",30346,44512,76.3591988,Mostly Rural
"Denver, Colorado",693417,63793,87.7832435,Mostly Urban
"Dolores, Colorado",1841,41714,73.2432432,Rural
"Douglas, Colorado",328614,115314,97.2033451,Mostly Urban
"Eagle, Colorado",54357,84685,92.7323944,Mostly Urban
"Elbert, Colorado",25162,96658,92.1843909,Rural
"El Paso, Colorado",688153,65334,91.7716149,Mostly Urban
"Fremont, Colorado",47002,46296,84.3617083,Mostly Urban
"Garfield, Colorado",58538,72898,86.1576308,Mostly Urban
"Gilpin, Colorado",5924,75120,88.2020354,Rural
"Grand, Colorado",15066,70469,87.5837197,Mostly Rural
"Gunnison, Colorado",16537,54979,88.1529429,Mostly Rural
"Hinsdale, Colorado",878,52188,72.6098191,Rural
"Huerfano, Colorado",6583,36705,70.9628275,Mostly Rural
"Jackson, Colorado",1296,48828,76.173913,Rural
"Jefferson, Colorado",570427,78943,91.8054512,Mostly Urban
"Kiowa, Colorado",1449,39784,83.9797639,Rural
"Kit Carson, Colorado",7635,51046,80.7188445,Mostly Urban
"Lake, Colorado",7585,46918,77.9898598,Mostly Urban
"La Plata, Colorado",55101,64372,83.3983389,Mostly Rural
"Larimer, Colorado",338161,67664,92.1723696,Mostly Urban
"Las Animas, Colorado",14179,41945,74.7259534,Mostly Urban
"Lincoln, Colorado",5548,49423,82.9605263,Rural
"Logan, Colorado",21689,48922,85.0421606,Mostly Urban
"Mesa, Colorado",149998,53683,87.0905903,Mostly Urban
"Mineral, Colorado",823,61058,82.9333333,Rural
"Moffat, Colorado",13060,52807,83.2629559,Mostly Urban
"Montezuma, Colorado",25909,46797,74.7244465,Mostly Rural
"Montrose, Colorado",41268,48739,78.1313869,Mostly Urban
"Morgan, Colorado",28257,51626,81.1590172,Mostly Urban
"Otero, Colorado",18325,34136,73.0204135,Mostly Urban
"Ouray, Colorado",4722,62230,88.1039198,Rural
"Park, Colorado",17392,66861,84.7169546,Rural
"Phillips, Colorado",4318,50724,82.853717,Rural
"Pitkin, Colorado",17909,71244,93.3029353,Mostly Urban
"Prowers, Colorado",12052,40097,78.6419504,Mostly Urban
"Pueblo, Colorado",164685,44634,79.1349079,Mostly Urban
"Rio Blanco, Colorado",6465,55543,82.8963795,Rural
"Rio Grande, Colorado",11351,38639,69.1829485,Mostly Rural
"Routt, Colorado",24874,74273,92.5670017,Mostly Urban
"Saguache, Colorado",6468,34410,70.3213611,Rural
"San Juan, Colorado",544,46563,83.8345865,Rural
"San Miguel, Colorado",7968,64478,89.1020052,Rural
"Sedgwick, Colorado",2350,45188,77.0894789,Rural
"Summit, Colorado",30429,77589,89.8320799,Mostly Urban
"Teller, Colorado",24113,65382,91.5741923,Mostly Rural
"Washington, Colorado",4840,49375,80.591133,Rural
"Weld, Colorado",295123,70908,87.8492865,Mostly Urban
"Yuma, Colorado",10069,48394,79.1656381,Mostly Rural
"Fairfield, Connecticut",944348,92969,89.8158835,Mostly Urban
"Hartford, Connecticut",894730,72321,85.5459171,Mostly Urban
"Litchfield, Connecticut",183031,78314,88.0506035,Mostly Urban
"Middlesex, Connecticut",163368,84761,88.2093524,Mostly Urban
"New Haven, Connecticut",859339,67128,84.6666889,Mostly Urban
"New London, Connecticut",268881,71368,87.6371017,Mostly Urban
"Tolland, Connecticut",151269,84916,90.5996524,Mostly Urban
"Windham, Connecticut",116538,64774,84.1526244,Mostly Urban
"Kent, Delaware",174822,58775,86.1600434,Mostly Urban
"New Castle, Delaware",555133,70996,88.3471095,Mostly Urban
"Sussex, Delaware",219540,60853,81.4670173,Mostly Urban
"District of Columbia, District of Columbia",684498,82604,84.1171327,Mostly Urban
"Alachua, Florida",263148,49078,87.8163383,Mostly Urban
"Baker, Florida",27785,61769,80.4521739,Mostly Rural
"Bay, Florida",182482,51829,85.5282839,Mostly Urban
"Bradford, Florida",26979,46197,68.9091516,Mostly Rural
"Brevard, Florida",576808,54359,88.078012,Mostly Urban
"Broward, Florida",1909151,57333,87.1866973,Mostly Urban
"Calhoun, Florida",14444,38609,68.7006146,Mostly Rural
"Charlotte, Florida",176954,49225,85.5955351,Mostly Urban
"Citrus, Florida",143087,41424,84.1337115,Mostly Urban
"Clay, Florida",207291,62653,91.3703371,Mostly Urban
"Collier, Florida",363922,65675,87.3125115,Mostly Urban
"Columbia, Florida",69105,44491,81.5249149,Mostly Rural
"DeSoto, Florida",36399,35057,57.0190063,Mostly Urban
"Dixie, Florida",16437,38237,58.4355828,Mostly Rural
"Duval, Florida",924229,53473,85.1227613,Mostly Urban
"Escambia, Florida",311522,49286,85.382348,Mostly Urban
"Flagler, Florida",107139,53872,86.6868493,Mostly Urban
"Franklin, Florida",11736,42855,78.5431697,Mostly Rural
"Gadsden, Florida",46017,40922,62.8278689,Mostly Rural
"Gilchrist, Florida",17615,42357,70.7418215,Mostly Rural
"Glades, Florida",13363,39879,60.8166028,Mostly Rural
"Gulf, Florida",16055,44291,79.7723456,Mostly Rural
"Hamilton, Florida",14269,34583,70.90301,Mostly Rural
"Hardee, Florida",27228,37594,62.9567679,Mostly Urban
"Hendry, Florida",40127,40728,68.0219506,Mostly Urban
"Hernando, Florida",182696,46030,85.3483091,Mostly Urban
"Highlands, Florida",102101,37314,75.3107785,Mostly Urban
"Hillsborough, Florida",1378883,56137,88.0294998,Mostly Urban
"Holmes, Florida",19430,38608,73.9595211,Mostly Rural
"Indian River, Florida",150984,52336,83.4276954,Mostly Urban
"Jackson, Florida",48472,39002,72.6589322,Mostly Rural
"Jefferson, Florida",14105,48173,74.9090279,Rural
"Lafayette, Florida",8744,39543,73.1264916,Rural
"Lake, Florida",335362,51884,87.2409555,Mostly Urban
"Lee, Florida",718679,54691,87.2100081,Mostly Urban
"Leon, Florida",288102,51201,89.9847677,Mostly Urban
"Levy, Florida",39961,37634,69.7194669,Mostly Rural
"Liberty, Florida",8365,37363,66.8626627,Rural
"Madison, Florida",18474,35509,63.798264,Mostly Rural
"Manatee, Florida",373853,56036,87.2107593,Mostly Urban
"Marion, Florida",348371,43361,80.8949998,Mostly Urban
