"YEAR","SAMPLE","SERIAL","CBSERIAL","NUMPREC","HHWT","CLUSTER","STATEFIP","PUMA","DENSITY","METRO","STRATA","GQ","MORTGAGE","RENT","HHINCOME","UNITSSTR","BEDROOMS","CISMRTPHN","CIHISPEED","PERNUM","PERWT","SEX","AGE","MARST","EDUC","EDUCD","EMPSTAT","EMPSTATD","LABFORCE","INCTOT","PRESGL"
2023,202301,1399361,2023010000162,1,6.0,2023013993611,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,6.0,2,19,6,6,65,3,30,1,3700,20.3
2023,202301,1399362,2023010001360,1,52.0,2023013993621,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,52.0,2,85,6,6,63,3,30,1,0,0.0
2023,202301,1399363,2023010001518,1,24.0,2023013993631,50,100,78.9,0,10050,4,0,0,9999999,0,0,0,0,1,24.0,1,25,6,6,63,2,20,2,13400,17.6
2023,202301,1399364,2023010003560,1,330.0,2023013993641,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,330.0,2,19,6,6,63,3,30,1,3300,26.4
2023,202301,1399365,2023010003718,1,112.0,2023013993651,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,112.0,1,20,6,6,63,1,10,2,3000,26.4
2023,202301,1399366,2023010004309,1,100.0,2023013993661,50,200,105.5,1,20050,3,0,0,9999999,0,0,0,0,1,100.0,2,83,5,2,26,3,30,1,32500,0.0
2023,202301,1399367,2023010004412,1,22.0,2023013993671,50,200,105.5,1,20050,4,0,0,9999999,0,0,0,0,1,22.0,1,20,6,7,71,1,10,2,16400,50.6
2023,202301,1399368,2023010004633,1,78.0,2023013993681,50,200,105.5,1,20050,4,0,0,9999999,0,0,0,0,1,78.0,2,38,4,7,71,3,30,1,0,30.9
2023,202301,1399369,2023010006751,1,99.0,2023013993691,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,99.0,1,37,6,6,65,1,10,2,51000,51.4
2023,202301,1399370,2023010007050,1,26.0,2023013993701,50,200,105.5,1,20050,4,0,0,9999999,0,0,0,0,1,26.0,2,20,6,7,71,1,10,2,3000,41.3
2023,202301,1399371,2023010007360,1,25.0,2023013993711,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,25.0,1,18,6,6,63,3,30,1,0,0.0
2023,202301,1399372,2023010008129,1,91.0,2023013993721,50,200,105.5,1,20050,4,0,0,9999999,0,0,0,0,1,91.0,2,21,6,7,71,1,10,2,4000,50.3
2023,202301,1399373,2023010008237,1,799.0,2023013993731,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,799.0,2,18,6,6,65,3,30,1,16000,20.3
2023,202301,1399374,2023010008295,1,14.0,2023013993741,50,100,78.9,0,10050,3,0,0,9999999,0,0,0,0,1,14.0,1,71,6,7,71,3,30,1,12000,0.0
2023,202301,1399375,2023010008387,1,20.0,2023013993751,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,20.0,1,20,6,6,63,3,30,1,0,28.4
2023,202301,1399376,2023010008896,1,50.0,2023013993761,50,200,105.5,1,20050,4,0,0,9999999,0,0,0,0,1,50.0,2,19,6,6,65,3,30,1,0,0.0
2023,202301,1399377,2023010009319,1,80.0,2023013993771,50,200,105.5,1,20050,4,0,0,9999999,0,0,0,0,1,80.0,1,58,4,6,63,3,30,1,1000,29.8
2023,202301,1399378,2023010009665,1,21.0,2023013993781,50,100,78.9,0,10050,4,0,0,9999999,0,0,0,0,1,21.0,1,52,6,7,71,3,30,1,13500,16.1
2023,202301,1399379,2023010009733,1,194.0,2023013993791,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,194.0,2,17,6,6,65,1,12,2,6000,32.8
2023,202301,1399380,2023010010460,1,21.0,2023013993801,50,200,105.5,1,20050,3,0,0,9999999,0,0,0,0,1,21.0,2,69,4,7,71,3,30,1,39400,0.0
2023,202301,1399381,2023010010935,1,21.0,2023013993811,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,21.0,1,18,6,7,71,1,10,2,1500,50.2
2023,202301,1399382,2023010011893,1,66.0,2023013993821,50,400,122.6,1,40050,3,0,0,9999999,0,0,0,0,1,66.0,1,27,6,6,65,3,30,1,10100,0.0
2023,202301,1399383,2023010012223,1,10.0,2023013993831,50,200,105.5,1,20050,3,0,0,9999999,0,0,0,0,1,10.0,1,51,4,6,63,3,30,1,0,17.5
2023,202301,1399384,2023010012532,1,6.0,2023013993841,50,100,78.9,0,10050,3,0,0,9999999,0,0,0,0,1,6.0,1,87,2,6,63,3,30,1,27600,0.0
2023,202301,1399385,2023010012655,1,37.0,2023013993851,50,100,78.9,0,10050,3,0,0,9999999,0,0,0,0,1,37.0,1,34,2,4,40,3,30,1,2100,0.0
2023,202301,1399386,2023010012995,1,41.0,2023013993861,50,100,78.9,0,10050,3,0,0,9999999,0,0,0,0,1,41.0,1,27,2,6,65,3,30,1,2100,28.4
2023,202301,1399387,2023010014430,1,104.0,2023013993871,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,104.0,1,18,6,6,65,3,30,1,2000,17.6
2023,202301,1399388,2023010014558,1,16.0,2023013993881,50,100,78.9,0,10050,4,0,0,9999999,0,0,0,0,1,16.0,2,38,4,6,63,3,30,1,0,30.9
2023,202301,1399389,2023010015773,1,4.0,2023013993891,50,100,78.9,0,10050,3,0,0,9999999,0,0,0,0,1,4.0,2,89,5,10,101,3,30,1,10500,0.0
2023,202301,1399390,2023010016733,1,102.0,2023013993901,50,100,78.9,0,10050,4,0,0,9999999,0,0,0,0,1,102.0,2,21,6,7,71,1,10,2,7600,59.6
2023,202301,1399391,2023010018035,1,9.0,2023013993911,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,9.0,1,21,6,7,71,3,30,1,5650,50.6
2023,202301,1399392,2023010018095,1,75.0,2023013993921,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,75.0,1,22,6,7,71,3,30,1,5000,48.6
2023,202301,1399393,2023010018317,1,228.0,2023013993931,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,228.0,1,20,6,7,71,3,30,1,4000,36.3
2023,202301,1399394,2023010018441,1,10.0,2023013993941,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,10.0,1,53,6,6,63,2,20,2,0,32.8
2023,202301,1399395,2023010018677,1,19.0,2023013993951,50,200,105.5,1,20050,4,0,0,9999999,0,0,0,0,1,19.0,1,19,6,7,71,1,10,2,8000,55.4
2023,202301,1399396,2023010019181,1,113.0,2023013993961,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,113.0,2,21,6,10,101,3,30,1,0,20.3
2023,202301,1399397,2023010020326,1,89.0,2023013993971,50,300,911.6,4,30050,3,0,0,9999999,0,0,0,0,1,89.0,2,78,5,11,114,3,30,1,1400,0.0
2023,202301,1399398,2023010020586,1,63.0,2023013993981,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,63.0,1,52,6,7,71,3,30,1,13500,16.1
2023,202301,1399399,2023010021109,1,84.0,2023013993991,50,100,78.9,0,10050,4,0,0,9999999,0,0,0,0,1,84.0,1,19,6,6,63,1,10,2,4900,50.6
2023,202301,1399400,2023010021441,1,49.0,2023013994001,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,49.0,1,60,4,7,71,3,30,1,17000,0.0
2023,202301,1399401,2023010021541,1,9.0,2023013994011,50,200,105.5,1,20050,3,0,0,9999999,0,0,0,0,1,9.0,1,13,6,1,17,0,0,0,9999999,0.0
2023,202301,1399402,2023010021762,1,26.0,2023013994021,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,26.0,2,68,4,11,114,3,30,1,23000,46.0
2023,202301,1399403,2023010022147,1,16.0,2023013994031,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,16.0,1,19,6,6,63,1,10,2,6000,35.5
2023,202301,1399404,2023010022756,1,12.0,2023013994041,50,200,105.5,1,20050,4,0,0,9999999,0,0,0,0,1,12.0,1,22,6,7,71,3,30,1,6500,47.0
2023,202301,1399405,2023010023167,1,129.0,2023013994051,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,129.0,1,20,6,6,63,1,10,2,8000,33.5
2023,202301,1399406,2023010024119,1,2.0,2023013994061,50,100,78.9,0,10050,3,0,0,9999999,0,0,0,0,1,2.0,2,49,2,8,81,3,30,1,22600,0.0
2023,202301,1399407,2023010024265,1,57.0,2023013994071,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,57.0,1,53,6,6,63,2,20,2,0,32.8
2023,202301,1399408,2023010024979,1,11.0,2023013994081,50,300,911.6,4,30050,4,0,0,9999999,0,0,0,0,1,11.0,2,22,6,6,63,3,30,1,610,35.5
2023,202301,1399409,2023010025264,1,20.0,2023013994091,50,200,105.5,1,20050,3,0,0,9999999,0,0,0,0,1,20.0,2,89,5,6,63,3,30,1,20700,0.0
2023,202301,1399410,2023010025326,1,31.0,2023013994101,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,31.0,2,20,6,6,65,1,10,2,15000,34.2
2023,202301,1399411,2023010026041,1,21.0,2023013994111,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,21.0,2,30,3,5,50,2,20,2,17000,35.5
2023,202301,1399412,2023010026548,1,5.0,2023013994121,50,400,122.6,1,40050,4,0,0,9999999,0,0,0,0,1,5.0,1,55,3,7,71,3,30,1,1000,0.0
