# name: golden gate tides and weather
# source: https://tidesandcurrents.noaa.gov/
# importDate: 4/9/2024&comma; 10:50 AM
# description: July 2023 tides at the Golden Gate in San Francisco&comma; CA&comma; USA.&NewLine;&NewLine;We also added some weather data&comma; which lets you ask other interesting questions.
# attribute -- name: when, type: date, editable: true
# attribute -- name: Predicted, description: predicted height of the water, unit: ft, editable: true
# attribute -- name: Verified, description: Acutal&comma; verified water height, unit: ft, precision: 4, editable: true
# attribute -- name: Time, description: Local time (Pacific daylight&comma; GMT – 7), editable: true
# attribute -- name: Wind Speed, unit: kt, editable: true
# attribute -- name: Wind Dir, description: North is 0&comma; FROM the west is 270., unit: deg, editable: true
# attribute -- name: Wind Gust, unit: kt, editable: true
# attribute -- name: Air Temp, unit: °F, editable: true
# attribute -- name: Baro, description: Barometric pressure. Standard at sea level is 1013., unit: mb, editable: true
when,Predicted,Verified,Time,Wind Speed,Wind Dir,Wind Gust,Air Temp,Baro
"7/1/2023, 12:00 AM",4.558,4.79,00:00,3.89,181,5.83,51.8,1012
"7/1/2023, 1:00 AM",2.95,3.07,01:00,4.08,197,8.75,51.8,1011.7
"7/1/2023, 2:00 AM",1.306,1.54,02:00,5.05,235,9.72,51.4,1011.5
"7/1/2023, 3:00 AM",0.007,0.38,03:00,4.08,222,9.14,51.4,1011.7
"7/1/2023, 4:00 AM",-0.697,-0.28,04:00,8.16,229,13.02,51.3,1011.5
"7/1/2023, 5:00 AM",-0.767,-0.32,05:00,1.75,209,6.41,51.4,1011.4
"7/1/2023, 6:00 AM",-0.302,0.08,06:00,1.56,225,5.05,51.3,1011.7
"7/1/2023, 7:00 AM",0.535,0.82,07:00,2.72,217,7,51.3,1012
"7/1/2023, 8:00 AM",1.549,1.93,08:00,7,222,8.94,52,1012.2
"7/1/2023, 9:00 AM",2.584,3.01,09:00,5.64,233,7.97,53.2,1012.4
"7/1/2023, 10:00 AM",3.514,3.93,10:00,8.55,232,12.63,54.3,1012.6
"7/1/2023, 11:00 AM",4.172,4.5,11:00,7.19,239,13.22,54.1,1013
"7/1/2023, 12:00 PM",4.408,4.75,12:00,5.44,234,14.58,55,1013.1
"7/1/2023, 1:00 PM",4.222,4.6,13:00,7.58,215,15.75,56.3,1012.9
"7/1/2023, 2:00 PM",3.779,4.24,14:00,6.41,224,14.38,57.7,1012.4
"7/1/2023, 3:00 PM",3.351,3.76,15:00,5.64,233,10.89,57.4,1012.3
"7/1/2023, 4:00 PM",3.194,3.55,16:00,9.72,222,18.66,58.5,1011.6
"7/1/2023, 5:00 PM",3.422,3.75,17:00,10.89,232,18.47,59.5,1010.9
"7/1/2023, 6:00 PM",4.002,4.31,18:00,9.14,234,18.47,59.2,1010.6
"7/1/2023, 7:00 PM",4.818,5.1,19:00,6.61,220,12.44,58.3,1010.6
"7/1/2023, 8:00 PM",5.682,5.93,20:00,3.89,188,14,55.2,1010.7
"7/1/2023, 9:00 PM",6.377,6.76,21:00,2.92,203,9.52,56.1,1011.2
"7/1/2023, 10:00 PM",6.724,7.18,22:00,3.69,183,10.69,56.3,1011.5
"7/1/2023, 11:00 PM",6.545,7.01,23:00,2.53,86,4.86,56.1,1011.7
"7/2/2023, 12:00 AM",5.701,6.08,00:00,6.41,210,9.72,55.6,1011.1
"7/2/2023, 1:00 AM",4.234,4.56,01:00,3.11,173,6.41,55.8,1010.6
"7/2/2023, 2:00 AM",2.416,2.59,02:00,3.69,211,9.91,56.5,1010.4
"7/2/2023, 3:00 AM",0.661,1.12,03:00,4.28,195,7.58,56.1,1010.5
"7/2/2023, 4:00 AM",-0.628,-0.13,04:00,3.11,179,5.05,55.4,1010.3
"7/2/2023, 5:00 AM",-1.228,-0.73,05:00,1.75,176,6.03,55.4,1010.4
"7/2/2023, 6:00 AM",-1.146,-0.71,06:00,5.64,251,8.36,55.4,1010.9
"7/2/2023, 7:00 AM",-0.516,-0.14,07:00,5.64,253,7.78,55.4,1011.3
"7/2/2023, 8:00 AM",0.474,0.91,08:00,3.5,291,7,57.2,1011.6
"7/2/2023, 9:00 AM",1.625,2.08,09:00,3.5,245,10.11,58.8,1012.1
"7/2/2023, 10:00 AM",2.78,3.26,10:00,3.3,281,9.91,57.6,1012.3
"7/2/2023, 11:00 AM",3.79,4.18,11:00,8.75,220,18.27,56.5,1012.5
"7/2/2023, 12:00 PM",4.455,4.82,12:00,5.83,251,13.61,57.6,1012.7
"7/2/2023, 1:00 PM",4.629,5.01,13:00,7.78,248,13.22,57.2,1012.6
"7/2/2023, 2:00 PM",4.349,4.88,14:00,8.94,248,17.88,57.7,1012
"7/2/2023, 3:00 PM",3.832,4.4,15:00,13.22,250,17.69,57.4,1011.8
"7/2/2023, 4:00 PM",3.388,3.86,16:00,13.41,251,18.08,57.6,1011.4
"7/2/2023, 5:00 PM",3.276,3.72,17:00,13.02,251,17.3,56.7,1011
"7/2/2023, 6:00 PM",3.576,3.98,18:00,15.75,255,21.97,55.8,1010.6
"7/2/2023, 7:00 PM",4.229,4.63,19:00,10.89,237,18.08,55.6,1010.5
"7/2/2023, 8:00 PM",5.097,5.42,20:00,10.89,239,18.66,55,1010.5
"7/2/2023, 9:00 PM",5.976,6.38,21:00,10.5,241,16.91,54.7,1010.7
"7/2/2023, 10:00 PM",6.647,7.13,22:00,6.8,245,13.02,54.5,1011.9
"7/2/2023, 11:00 PM",6.917,7.45,23:00,4.28,255,9.33,55,1012.3
"7/3/2023, 12:00 AM",6.59,7.08,00:00,3.3,270,7,55.6,1012.5
"7/3/2023, 1:00 AM",5.542,5.97,01:00,6.03,235,13.41,55.4,1012.1
"7/3/2023, 2:00 AM",3.868,4.12,02:00,1.94,308,5.05,56.3,1012.2
"7/3/2023, 3:00 AM",1.904,2.19,03:00,6.61,232,10.5,55.2,1011.9
"7/3/2023, 4:00 AM",0.11,0.65,04:00,7.39,232,12.05,55.4,1011.9
"7/3/2023, 5:00 AM",-1.11,-0.47,05:00,9.52,222,15.94,55.6,1012
"7/3/2023, 6:00 AM",-1.575,-1.01,06:00,,,,,
"7/3/2023, 7:00 AM",-1.34,-0.87,07:00,5.25,218,9.14,55.8,1012.6
"7/3/2023, 8:00 AM",-0.562,-0.08,08:00,4.28,226,9.72,56.1,1012.7
"7/3/2023, 9:00 AM",0.558,1.02,09:00,4.86,224,9.72,56.7,1012.9
"7/3/2023, 10:00 AM",1.817,2.29,10:00,5.25,237,10.69,56.7,1012.8
"7/3/2023, 11:00 AM",3.053,3.52,11:00,3.69,238,8.16,56.7,1012.9
"7/3/2023, 12:00 PM",4.086,4.45,12:00,7.19,245,12.25,57.6,1013
"7/3/2023, 1:00 PM",4.695,4.99,13:00,6.8,256,13.22,58.8,1013
"7/3/2023, 2:00 PM",4.756,5.12,14:00,7.19,255,14.38,59.2,1012.8
"7/3/2023, 3:00 PM",4.358,4.74,15:00,8.94,251,14.58,59.4,1012.6
"7/3/2023, 4:00 PM",3.767,4.28,16:00,8.16,231,14.77,59.4,1012.2
"7/3/2023, 5:00 PM",3.318,3.61,17:00,9.91,263,16.33,58.6,1011.9
"7/3/2023, 6:00 PM",3.252,3.5,18:00,6.8,242,12.25,57.9,1011.7
"7/3/2023, 7:00 PM",3.619,3.87,19:00,12.83,226,19.83,57.4,1011.2
"7/3/2023, 8:00 PM",4.333,4.59,20:00,7.39,225,12.44,56.8,1011.7
"7/3/2023, 9:00 PM",5.242,5.55,21:00,2.92,227,8.36,56.7,1011.9
"7/3/2023, 10:00 PM",6.13,6.4,22:00,4.86,200,10.5,56.7,1012.4
"7/3/2023, 11:00 PM",6.774,7.23,23:00,4.28,218,10.3,56.1,1013.1
"7/4/2023, 12:00 AM",6.968,7.43,00:00,7,210,13.61,55.9,1013
"7/4/2023, 1:00 AM",6.506,6.89,01:00,7.78,216,12.44,55.9,1013.2
"7/4/2023, 2:00 AM",5.29,5.59,02:00,7.97,215,11.27,55.8,1012.6
"7/4/2023, 3:00 AM",3.476,3.7,03:00,7.97,230,12.44,55.4,1012.4
"7/4/2023, 4:00 AM",1.453,1.88,04:00,6.03,205,9.91,55.4,1012.3
"7/4/2023, 5:00 AM",-0.298,0.25,05:00,4.86,258,9.72,55.2,1012.3
"7/4/2023, 6:00 AM",-1.396,-0.73,06:00,2.92,215,5.64,55,1012.3
"7/4/2023, 7:00 AM",-1.71,-1.16,07:00,4.86,202,8.16,55.2,1012.7
"7/4/2023, 8:00 AM",-1.329,-0.92,08:00,2.33,247,7.39,55.4,1013
"7/4/2023, 9:00 AM",-0.426,-0.01,09:00,2.72,246,7.78,55.8,1013.3
"7/4/2023, 10:00 AM",0.795,1.21,10:00,3.69,207,10.5,56.3,1013.5
"7/4/2023, 11:00 AM",2.126,2.49,11:00,4.86,242,8.94,57.4,1013.7
"7/4/2023, 12:00 PM",3.393,3.79,12:00,4.67,242,11.47,57.9,1013.6
"7/4/2023, 1:00 PM",4.388,4.72,13:00,5.83,250,15.16,57.7,1013.7
"7/4/2023, 2:00 PM",4.887,5.15,14:00,7,239,12.25,57.7,1013.7
"7/4/2023, 3:00 PM",4.803,5.08,15:00,5.83,246,14.77,58.1,1013.7
"7/4/2023, 4:00 PM",4.279,4.69,16:00,11.66,248,18.47,57.6,1013.5
"7/4/2023, 5:00 PM",3.621,4.04,17:00,8.16,231,16.13,57.9,1013
"7/4/2023, 6:00 PM",3.172,3.44,18:00,10.11,246,14.77,57,1013.2
"7/4/2023, 7:00 PM",3.143,3.46,19:00,6.22,226,11.86,56.7,1013.3
