# name: heavy hexnuts
# source: B&G Manufacturing
# importDate: 4/6/2024&comma; 8:03 PM
# description: Various sizes of hexnut. How does the mass depend on the size?
# attribute -- name: size, description: "labeled" size of the nut (roughly the diameter of the bolt it fits), unit: in, editable: true
# attribute -- name: mass, unit: g, editable: true
# attribute -- name: flat, description: distance across parallel sides of the nut, unit: cm, editable: true
# attribute -- name: thick, description: thickness of the nut, unit: cm, editable: true
size,mass,flat,thick
0.375,14.2428,1.74752,0.95758
0.50,29.6649,2.2225,1.28016
0.625,53.9775,2.69748,1.60274
0.75,87.5433,3.175,1.92532
0.875,134.717,3.65252,2.2479
1.00,192.777,4.1275,2.57048
1.125,268.527,4.60248,2.89306
1.25,356.524,5.08,3.17754
1.375,462.664,5.55752,3.50012
1.50,594.206,6.0325,3.8227
1.625,734.82,6.50748,4.14528
1.75,925.329,6.985,4.46786
1.875,1093.16,7.46252,4.79044
2.00,1356.24,7.9375,5.11302
2.25,1900.55,8.89,5.71754
2.50,2558.26,9.8425,6.3627
2.75,3347.51,10.795,7.00786
3.00,4309.13,11.7475,7.65302
3.25,5415.89,12.7,8.26008
3.50,6921.82,13.6525,8.90524
3.75,8219.09,14.605,9.5504
4.00,9888.31,15.5575,10.1956
