# name: hyades
# source: Hipparcos / Tycho / Tim Erickson
# importDate: 4/7/2024&comma; 7:03 AM
# description: Data on the region of sky in which the Hyades star cluster appears.
# attribute -- name: V, description: apparent visual magnitude. Remember: smaller is brighter!, editable: true
# attribute -- name: RA, description: right ascension (celestial longitude&comma; east-west), unit: degrees, editable: true
# attribute -- name: DEC, description: declination (celestial latitude&comma; north-south), unit: degrees, editable: true
# attribute -- name: parallax, description: annual "wiggle", unit: milliarcseconds, editable: true
# attribute -- name: PM_RA, description: proper motion (systematic speed on the sky) in right ascension (east-west), unit: milliarcsec/year, editable: true
# attribute -- name: PM_DEC, description: proper motion (systematic speed on the sky) in declination (north-south), unit: milliarcsec/year, editable: true
# attribute -- name: B_V, description: Color index B–V. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: V_I, description: Color index V–I. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: cluster, editable: true
V,RA,DEC,parallax,PM_RA,PM_DEC,B_V,V_I,cluster
10.13,60.4967,18.787,5.37,35.67,-16.75,0.509,0.58,Hyades
9.44,60.5127,17.2974,5.37,44.48,-8.98,0.802,0.83,Hyades
9.15,60.5145,11.3015,2.99,-4.94,-0.73,1.621,1.64,Hyades
9.57,60.6095,15.1339,17.28,16.45,28.53,0.697,0.75,Hyades
10.03,60.6191,18.0616,3.97,11.4,-17.02,0.486,0.56,Hyades
8.74,60.6605,15.0622,8.78,-1.24,-59.67,0.644,0.71,Hyades
9.79,60.7449,11.3661,3.62,-10.5,-4.69,0.465,0.54,Hyades
8.48,60.7773,14.4835,5.7,22.78,-14.6,0.669,0.73,Hyades
9,60.7925,18.6688,12.03,-2.04,-10.13,0.647,0.71,Hyades
9.72,60.8573,13.9427,4.07,-1.72,-8.51,0.387,0.45,Hyades
8.9,60.8831,12.8989,1.59,7.63,-1.96,1.823,2.44,Hyades
10.12,60.9124,19.4551,23.07,119.02,-34.19,1.095,1.17,Hyades
8.02,60.9918,21.0709,8.29,21.51,-10.62,0.28,0.32,Hyades
8.01,61.0541,15.0269,3.54,-4.11,-22.96,1.147,1.11,Hyades
9.09,61.078,20.6792,1.74,1.49,-0.02,0.117,0.13,Hyades
7.45,61.078,12.5075,3.6,59.22,-17.95,1.913,2.83,Hyades
9.2,61.1559,16.6274,5.52,-12.88,-4.79,0.47,0.54,Hyades
6.64,61.1651,17.5176,9.37,-44.79,7.99,1.118,1.08,Hyades
8.94,61.2355,20.8566,8.15,12.9,-51.39,0.821,0.84,Hyades
8.15,61.2965,13.2968,4.78,3.63,-6.2,0.477,0.55,Hyades
11.41,61.3566,19.4422,14.56,123.06,-28.43,1.347,1.57,Hyades
7.3,61.3796,14.2864,5.77,11.32,-36.71,1.22,1.17,Hyades
8.29,61.4031,19.955,10.87,13.54,2.33,0.41,0.48,Hyades
9.31,61.415,17.9378,19.81,126.34,-29.13,0.89,0.93,Hyades
6.72,61.4233,10.0371,5.98,-14.18,6.31,1.034,1.01,Hyades
8.16,61.4704,10.9734,7.63,-4.31,-72.08,0,0.49,Hyades
10.06,61.4762,11.9661,29.02,216.53,17.79,1.12,1.2,Hyades
8.15,61.4805,15.4991,13.98,36.52,-37.98,0.564,0.64,Hyades
8.32,61.5494,20.6683,3.73,0.43,-13.36,1.579,1.6,Hyades
7.85,61.5669,15.6982,21.41,118.53,-19.59,0.593,0.66,Hyades
7.3,61.5952,14.4021,16.75,66.54,59.34,0.496,0.57,Hyades
7.48,61.6557,19.1528,12.47,29.44,64.6,0.379,0.44,Hyades
9.57,61.6617,20.3031,6.43,6,-15.4,0.699,0.76,Hyades
9.51,61.6686,13.1573,1.52,-11.86,-20.01,1.239,1.2,Hyades
8.44,61.6844,17.6635,9.64,35.87,-25.72,0.502,0.57,Hyades
10.49,61.7548,15.3351,23.57,122.63,-18.96,1.18,1.3,Hyades
8.76,61.7852,21.2629,2.34,30.68,-7.08,1.21,1.17,Hyades
7.97,61.7863,10.7999,14.57,28.56,-81.94,0.48,0.55,Hyades
8.84,61.7943,13.8124,4.65,7.16,-19.16,0.662,0.72,Hyades
7.7,61.7965,12.2682,4.6,16.12,-23.35,0.092,0.1,Hyades
7.87,61.8282,13.5383,7.28,-25.06,-7.44,0.31,0.36,Hyades
6.02,61.9246,15.1628,21.27,127.06,-22.75,0.397,0.46,Hyades
9.18,61.9292,21.2627,6.29,-5.4,-48.19,0.63,0.7,Hyades
9.94,61.9297,16.5189,19.7,123.1,-25.25,1.005,1.06,Hyades
7.6,61.9778,16.5306,5.82,-3.09,-13.68,0.102,0.12,Hyades
5.89,61.9975,17.3399,9.46,7.66,-10.06,1.497,1.5,Hyades
7.69,62.086,19.7377,3.58,-9.44,-4.37,0.5,0.34,Hyades
11.28,62.1108,12.1919,24.9,115.35,-13.05,1.327,1.54,Hyades
8.61,62.1283,12.3387,31.12,154.82,-336.33,0.9,0.94,Hyades
6.79,62.1754,10.0994,4.51,-20.03,-36.13,1.697,2.24,Hyades
7.64,62.2062,17.2918,9.37,14.44,-40.14,0.156,0.17,Hyades
8.76,62.2067,10.4637,3.45,-10.34,-22.81,0.668,0.73,Hyades
10.2,62.2195,14.5468,-0.28,-0.24,-8.2,0.764,0.8,Hyades
9.37,62.2307,20.3861,6.16,23.25,-51.07,0.587,0.66,Hyades
5.94,62.2565,13.3983,7.32,14.76,-7.3,0.052,0.06,Hyades
7.51,62.2825,10.7652,2.99,28.73,-7.24,1.061,1.03,Hyades
5.51,62.2913,19.6093,11.21,107.44,-31.64,1.077,1.05,Hyades
9.09,62.3436,17.1622,4.32,-4.63,-18.8,0.567,0.64,Hyades
8.63,62.3441,18.9068,2.31,21.65,-18.34,1.245,1.2,Hyades
9.11,62.3874,17.4994,9.81,36.08,-22.96,0.518,0.59,Hyades
8.81,,,,,,1.5,1.93,Hyades
9.14,62.4088,11.4675,10.76,-13.79,-43,0.624,0.69,Hyades
8.04,62.4595,10.8005,2.84,-6.22,-26.8,1.126,1.09,Hyades
9.9,62.4845,15.8681,6.76,27.26,-11.92,0.587,0.66,Hyades
7.71,62.51,10.8463,4.54,21.64,-19.58,1.23,1.19,Hyades
8.95,62.549,18.4745,4.61,4.71,-6.31,1.748,1.77,Hyades
9.07,62.5575,17.3688,29.88,414.43,-152.23,1.07,1.13,Hyades
8.11,62.5901,12.0774,23.85,168.24,89.45,0.741,0.79,Hyades
8.99,62.6706,15.2371,2.82,-15.32,-6.31,1.04,1.01,Hyades
6.61,62.6762,18.4233,23.22,123.92,-31.41,0.427,0.47,Hyades
7.18,62.7299,15.9467,5.04,-10.12,-13.64,0.148,0.16,Hyades
8.71,62.7465,14.2776,5.02,-22.91,-26.12,1.328,1.29,Hyades
6.97,62.7641,16.647,2.99,3.3,2.49,0.344,0.4,Hyades
7.73,62.7937,15.6263,4.24,-0.99,-8.74,0.207,0.23,Hyades
9.66,62.8045,18.3802,8.13,-25.19,-122.41,0.537,0.61,Hyades
9.31,63.0529,20.7452,5.54,16.82,-15.61,0.587,0.66,Hyades
8.61,63.0535,14.9326,10.08,55.36,-69.45,0.465,0.54,Hyades
