# name: pleiades
# source: Hipparcos / Tycho / Tim Erickson
# importDate: 4/7/2024&comma; 7:19 AM
# description: Data on the region of sky in which the Hyades star cluster appears.
# attribute -- name: V, description: apparent visual magnitude. Remember: smaller is brighter!, editable: true
# attribute -- name: RA, description: right ascension (celestial longitude&comma; east-west), unit: degrees, editable: true
# attribute -- name: DEC, description: declination (celestial latitude&comma; north-south), unit: degrees, editable: true
# attribute -- name: parallax, description: annual "wiggle", unit: milliarcseconds, editable: true
# attribute -- name: PM_RA, description: proper motion (systematic speed on the sky) in right ascension (east-west), unit: milliarcsec/year, editable: true
# attribute -- name: PM_DEC, description: proper motion (systematic speed on the sky) in declination (north-south), unit: milliarcsec/year, editable: true
# attribute -- name: B_V, description: Color index B–V. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: V_I, description: Color index V–I. Larger is redder&comma; smaller is bluer., unit: mags, editable: true
# attribute -- name: cluster, editable: true
V,RA,DEC,parallax,PM_RA,PM_DEC,B_V,V_I,cluster
8.4,53.7398,26.6083,7.74,6.27,5.06,0.336,0.39,Pleiades
8.56,53.835,26.8502,5.22,29.96,-32.32,0.7,0.51,Pleiades
8.67,53.8388,26.8528,5.22,29.96,-32.32,0.568,0.64,Pleiades
9.86,53.882,22.8237,9.98,23.92,-44.12,0.54,0.61,Pleiades
9.02,53.9999,23.9141,3.8,3.64,-6.84,1.337,1.3,Pleiades
9.27,54.0819,25.399,5.03,23.07,-11.48,0.405,0.47,Pleiades
8.62,54.1199,23.7975,15.66,53,-103.72,0.669,0.73,Pleiades
8.89,54.126,21.7802,2.79,-0.62,6.01,1.054,1.02,Pleiades
6.72,54.2418,23.2111,7.46,-15.42,-18.36,0.123,0.14,Pleiades
7.28,54.2953,25.9918,26.78,237.51,-271.85,0.704,0.75,Pleiades
9.35,54.3954,21.3432,25.23,141.55,-27.39,0.917,0.96,Pleiades
10.09,54.594,22.4998,5.86,20.33,-43.05,0.634,0.7,Pleiades
8.22,54.6496,24.6017,8.21,2.06,-23.32,0.428,0.5,Pleiades
6.71,54.6696,22.6597,7.88,19.34,-45.29,-0.001,0.02,Pleiades
10.53,54.7369,24.5699,3.2,22.71,-43.36,0.645,0.71,Pleiades
7.11,54.778,24.703,6.87,21.36,-46.01,0.039,0.05,Pleiades
9.07,54.7809,25.1568,3.62,6.76,-15.92,0.224,0.25,Pleiades
7.27,54.805,21.8434,7.78,21.89,-41.6,0.068,0.08,Pleiades
10.4,54.8061,24.4666,8.85,20.2,-45.09,0.616,0.68,Pleiades
9.94,54.9215,23.291,9.97,23.15,-46.14,0.608,0.68,Pleiades
8.33,55.0415,26.9606,3.48,116.4,-87.92,1.046,1.1,Pleiades
8.23,55.058,26.8875,1.87,1.41,-4.83,0.269,0.3,Pleiades
7.16,55.0899,21.4057,11.88,-31.62,6.78,0.311,0.36,Pleiades
6.11,55.1929,25.3295,6.24,9.58,-13.95,0.097,0.11,Pleiades
9.17,55.3456,23.487,9.21,22.49,-44.32,0.437,0.51,Pleiades
10.1,55.4006,25.6194,5.91,14.95,-46.42,0.589,0.66,Pleiades
9.17,55.5196,22.8587,7.29,19.7,-41.66,0.463,0.53,Pleiades
7.4,55.5663,22.7866,18.79,21.57,-75.5,0.428,0.5,Pleiades
9.85,55.5999,21.4736,6.28,24.13,-47.88,0.55,0.62,Pleiades
10.4,55.6001,22.4212,6.66,19.29,-44.43,0.7,0.75,Pleiades
8.13,55.6238,26.5723,1.46,70.33,-47.54,1.341,1.31,Pleiades
7.91,55.6715,21.2816,8.02,2.54,4.07,0.624,0.69,Pleiades
7.93,55.923,23.6493,9.48,20.36,-45.1,0.347,0.41,Pleiades
7.52,55.9299,25.0808,10.01,21.79,-53.43,0.141,0.16,Pleiades
7.35,55.9418,26.3812,4.04,-12.21,-12.37,1.16,1.12,Pleiades
5.45,56.2008,24.2896,9.75,20.73,-44,-0.034,0.01,Pleiades
8.98,56.2134,23.269,9.76,22.71,-43.67,0.403,0.47,Pleiades
3.72,56.2188,24.1134,8.8,21.55,-44.92,-0.105,-0.09,Pleiades
9.49,56.2455,22.0326,10,18.31,-42.76,0.489,0.56,Pleiades
11.49,56.2841,26.2926,13.35,16.59,-49.34,0.823,0.86,Pleiades
5.66,56.2905,24.8394,8.87,19.03,-46.64,-0.064,-0.03,Pleiades
