# name: radiosonde
# source: captured by Tim
# importDate: 4/7/2024&comma; 6:47 PM
# description: Records from a weather balloon ascent. Coffeyville&comma; KS 1991.
# attribute -- name: alt, description: altitude above mean se level, unit: m, editable: true
# attribute -- name: pressure, description: air pressure, unit: mb, editable: true
# attribute -- name: temp, description: temperature, unit: °C, editable: true
# attribute -- name: time, description: time since release, unit: s, editable: true
alt,pressure,temp,time
227,985.1,11.2,-33
228,985,11.2,10.2
271,980,11.8,18.4
313,975,11.7,26.2
356,970,11.5,34.4
400,965,11.4,42.9
443,960,11.3,51
487,955,11.4,59.4
531,950,11.7,68.8
575,945,11.9,77.6
620,940,12,86.4
664,935,11.9,95.2
709,930,11.9,104
754,925,11.9,112.8
800,920,11.9,121.6
846,915,12,130.7
892,910,12,140.2
938,905,12,149.5
984,900,11.9,159.4
1031,895,11.7,170.2
1078,890,11.5,180.1
1125,885,11.3,189.7
1172,880,11.4,199.2
1220,875,11.7,208.7
1268,870,12,218.4
1316,865,12,228.3
1365,860,12,237.7
1414,855,12.1,247.4
1463,850,12.1,258.4
1512,845,11.8,269.5
1562,840,11.4,278.9
1611,835,11,288.4
1661,830,10.5,299.2
1712,825,10.1,309.3
1762,820,9.7,318.8
1813,815,9.3,329.8
1864,810,9.2,342.9
1915,805,9,354.3
1967,800,8.8,365
2018,795,8.6,377.6
2070,790,8.9,390.9
2123,785,9.2,404.1
2176,780,9.2,417.2
2229,775,9.2,430.8
2283,770,9.1,444
2336,765,8.9,457.1
2391,760,8.9,470
2445,755,8.9,482.5
2500,750,9,496.2
2555,745,9.1,510.6
2611,740,8.9,523.3
2667,735,8.6,534.6
2723,730,8.2,546.2
2780,725,7.7,557.7
2837,720,7.3,569.9
2894,715,7.2,584.4
2951,710,7,599.3
3009,705,6.8,614.7
3068,700,6.5,628.3
3126,695,6.1,641.8
3185,690,5.7,657.8
3245,685,5.3,674.2
3305,680,4.9,691.7
3365,675,4.7,709.3
3425,670,4.3,726.1
3486,665,3.8,742.9
3547,660,3.4,759.2
3609,655,3.1,774.4
3671,650,2.8,790.6
3733,645,2.6,807.3
3796,640,2.4,822.8
3859,635,2.1,838.7
3923,630,1.7,854.7
3987,625,1.4,871.8
4051,620,0.9,889
4116,615,0.5,905.6
4182,610,0.2,922.7
4247,605,-0.2,938.8
4314,600,-0.6,953.4
4380,595,-1.1,968.9
4448,590,-1.7,985.5
4515,585,-2.4,1001.9
4583,580,-3,1017.5
4652,575,-3.7,1034.1
4720,570,-4.4,1050.7
4790,565,-5,1068
4859,560,-5.7,1084.8
4930,555,-6.3,1101.9
5000,550,-6.8,1118.5
5071,545,-7.4,1136.4
5143,540,-8,1154.6
5215,535,-8.4,1172.4
5288,530,-8.8,1190.6
5361,525,-9.3,1209
5435,520,-9.8,1227.6
5510,515,-10.2,1246.5
5585,510,-10.5,1265.1
5660,505,-11,1284.2
5737,500,-11.6,1303.5
5813,495,-12.1,1323.5
5891,490,-12.3,1343.2
5969,485,-12.6,1362.4
6048,480,-13,1382.2
6128,475,-13.4,1402
6208,470,-13.9,1421.2
6290,465,-14.3,1440.3
6371,460,-14.9,1460
6454,455,-15.6,1478.8
6537,450,-16.3,1498.1
6621,445,-17,1518.9
6706,440,-17.6,1539.3
6791,435,-18.1,1560.6
6877,430,-18.7,1582
6964,425,-19.2,1603.5
7052,420,-19.8,1625.2
7141,415,-20.7,1647.1
7230,410,-21.5,1669.3
7321,405,-22.3,1692.7
7412,400,-23.1,1716.5
7504,395,-23.7,1740.3
7597,390,-24.3,1764.6
7690,385,-25,1788.8
7785,380,-25.8,1813.1
7881,375,-26.7,1837.7
7978,370,-27.6,1861.4
8075,365,-28.5,1885.7
8174,360,-29.3,1911.3
8274,355,-30.1,1936.2
8374,350,-30.7,1961.5
8476,345,-31.2,1987.5
8580,340,-31.9,2013
8684,335,-32.6,2035.3
8790,330,-33.5,2058.6
8897,325,-34.4,2086
9005,320,-35.2,2113.6
9114,315,-36,2141.6
9225,310,-36.9,2168.7
9338,305,-37.7,2196.5
9451,300,-38.8,2225.4
9566,295,-39.8,2252.1
9683,290,-40.7,2280.5
9801,285,-41.4,2306.3
9921,280,-42.3,2335.2
10042,275,-43,2364.1
10166,270,-44,2391.9
10291,265,-44.6,2420.6
10418,260,-45.3,2451
10547,255,-46.2,2482.5
10679,250,-47.1,2514.3
10812,245,-48,2545.4
10948,240,-48.9,2579.4
11086,235,-48.6,2613.2
11228,230,-47.5,2647
11373,225,-47.4,2681.6
11521,220,-47.3,2715.8
11673,215,-48.1,2749.9
11828,210,-47.3,2785.4
11988,205,-47.8,2821.3
12151,200,-46.8,2860.8
12318,195,-48.2,2895.9
12489,190,-49.5,2934.7
12663,185,-50.4,2974.7
12841,180,-51.2,3015.5
13024,175,-52.6,3055.4
13210,170,-54.3,3097.9
13401,165,-55.5,3138.3
13596,160,-56.7,3181.2
13797,155,-57.7,3226.4
14004,150,-58.3,3273.7
14216,145,-59.1,3322.5
14436,140,-60.6,3371.7
14661,135,-62.5,3419.2
14893,130,-63,3468.2
15134,125,-63.1,3522.5
15385,120,-64.1,3579.3
15644,115,-65,3638.1
15915,110,-65.8,3698.5
16197,105,-66.5,3760.7
16491,100,-67.4,3826.5
16799,95,-69.5,3893.5
17120,90,-71.1,3964.6
17457,85,-71.3,4039.7
17814,80,-72.5,4113.6
18195,75,-70.7,4193.3
18605,70,-69.4,4282.7
