# name: clipboard data
# source: College Board
# importDate: 4/7/2024&comma; 8:16 PM
# description: 1000 records of students' GPAs (high school and first year) plus their SAT verbal and math scores (out of 800; this was in the 20th century...)
# attribute -- name: HSGPA, description: high-school GPA, editable: true
# attribute -- name: FYGPA, description: first-year college GPA, editable: true
# attribute -- name: gender, type: categorical, editable: true
# attribute -- name: verbal, description: SAT verbal (old! Out of 800), editable: true
# attribute -- name: math, description: SAT math (old! Out of 800), editable: true
HSGPA,FYGPA,gender,verbal,math
3.4,3.18,M,650,620
4,3.33,F,580,640
3.75,3.25,F,560,600
3.75,2.42,M,420,530
4,2.63,M,550,520
4,2.91,F,550,560
2.8,2.83,M,570,650
3.8,2.51,M,530,620
4,3.82,F,670,770
2.6,2.54,M,410,440
3.75,3.38,M,580,700
3.75,3.02,F,450,570
2.8,2.6,F,430,450
3.75,3.81,F,500,580
3.5,3.02,M,540,660
3.75,3.48,F,550,570
3.2,2.15,F,440,530
4,3.8,M,530,680
3.75,3.13,F,540,490
4,3.4,F,470,550
4,3.59,M,640,760
3.25,1.62,F,390,330
3.9,3.61,M,520,650
3.5,2.54,M,490,580
3.5,2.51,M,460,400
2,0,F,430,490
4,3.72,M,630,720
2.3,0.87,F,460,450
3.5,2.79,M,450,530
3.5,2,M,350,450
4,3.69,F,540,530
3.75,3.48,F,660,660
3,2.49,M,400,500
4,3.92,F,530,670
2.8,3.05,M,640,620
2.75,2.4,M,440,390
3.5,2.71,M,690,640
3.75,1.58,F,470,600
2,1.38,M,330,480
3.75,2.52,M,610,630
2.75,2.16,F,400,420
3,2.57,M,520,620
2.25,2.64,M,560,610
3.5,2.47,M,380,490
3,1,M,540,470
3,2.73,M,330,430
2.67,2.42,F,360,450
3,2.3,F,360,470
3.8,3.33,F,640,600
3.1,2.37,M,490,420
3,2.11,M,570,660
3,2.91,M,500,600
3,3.29,F,480,490
3.25,2.67,F,540,550
3.2,2.78,M,640,660
3.8,3.13,F,570,500
2.5,2.94,F,490,550
4,4,F,640,680
3.75,2.9,M,660,570
3.5,2.92,F,430,460
2.9,1.91,M,460,500
2.9,3.11,M,410,510
2.3,2.02,M,620,640
2.8,2.51,M,430,630
4,3.51,F,520,520
4,3.24,F,450,540
3.8,2.02,F,450,590
4,2.65,F,710,590
3.25,1.74,F,430,520
2.7,1.54,M,550,540
3.5,2.34,M,400,620
3,2.49,F,660,610
3.25,2.49,M,540,620
2.75,2.08,M,450,600
3,2.19,M,570,560
2.5,1.8,F,370,510
2.8,2.22,F,350,400
3.5,2.95,M,610,590
3.25,2.67,F,500,510
4,2.89,M,500,560
3.5,2.66,M,440,570
3,2.18,M,580,500
3.5,2.81,F,530,560
3.75,2.06,M,420,520
4,2.8,M,600,570
3,2.59,M,390,530
3.5,2.33,M,490,500
4,3.55,M,450,650
4,2.75,M,600,670
3.75,3.59,F,500,430
3.25,1.54,M,290,500
3.75,2.98,M,480,600
3,1.28,F,340,400
2.5,1.24,M,490,470
4,2.93,F,500,670
3.75,2.48,F,530,520
4,2.98,M,620,630
2.7,1.17,F,530,560
3.5,2.04,M,460,550
3.2,2.37,F,630,570
3.5,3,F,440,640
2.75,2.98,F,630,570
3.4,2.55,F,490,580
2.8,1.86,M,420,550
2,2.09,M,580,560
4,2.89,M,630,730
4,3.38,F,620,640
3.9,3.94,F,570,600
3,2.28,M,450,710
3,2.43,M,590,720
4,2.77,F,450,640
2,3.33,F,520,520
3,2.39,M,430,640
3.7,2.37,F,430,460
4,3.82,M,600,680
3.75,3.63,M,500,770
2.5,1.78,M,610,580
3,3.22,M,480,590
3.5,2.42,M,710,700
