# name: clipboard data_1
# source: Florida fish & game
# importDate: 4/8/2024&comma; 7:32 AM
# description: 2563 snook! Snook are game fish caught of both coasts of Florida.
# attribute -- name: coast, editable: true
# attribute -- name: date, type: date, editable: true
# attribute -- name: length, unit: mm, editable: true
# attribute -- name: mass, unit: g, editable: true
coast,date,length,mass
ATLANTIC,1/24/85,294,226.8
ATLANTIC,1/28/85,318,269.3
ATLANTIC,1/28/85,314,255.2
ATLANTIC,1/28/85,302,226.8
ATLANTIC,1/28/85,307,227
ATLANTIC,1/28/85,295,227
ATLANTIC,1/28/85,340,312
ATLANTIC,1/28/85,313,269
ATLANTIC,1/28/85,275,170
ATLANTIC,1/28/85,295,227
ATLANTIC,1/28/85,333,283
ATLANTIC,1/28/85,307,241
ATLANTIC,1/28/85,312,255
ATLANTIC,1/28/85,308,241
ATLANTIC,1/28/85,316,283
ATLANTIC,1/28/85,297,227
ATLANTIC,7/22/85,835,5158.5
ATLANTIC,8/5/86,780,3742
ATLANTIC,9/2/86,950,6634
ATLANTIC,12/1/86,780,4309
ATLANTIC,7/7/87,605,1758
ATLANTIC,7/9/87,905,6691
ATLANTIC,7/9/87,740,3459
ATLANTIC,8/12/87,750,3459
ATLANTIC,8/19/87,510,1021
ATLANTIC,9/7/87,835,4536
ATLANTIC,9/17/87,960,7031
ATLANTIC,9/30/87,977,9299
ATLANTIC,9/30/87,1016,10886
ATLANTIC,9/30/87,965,8392
ATLANTIC,9/29/87,755,4252
ATLANTIC,12/18/87,450,680.4
ATLANTIC,12/18/87,391,454
ATLANTIC,12/18/87,355,340
ATLANTIC,12/18/87,400,482
ATLANTIC,12/18/87,379,425
ATLANTIC,12/18/87,343,312
ATLANTIC,12/18/87,362,340
ATLANTIC,12/18/87,322,284
ATLANTIC,12/18/87,340,312
ATLANTIC,12/18/87,311,227
ATLANTIC,12/18/87,296,198
ATLANTIC,12/18/87,265,198
ATLANTIC,12/18/87,298,198
ATLANTIC,12/18/87,302,227
ATLANTIC,12/18/87,285,170
ATLANTIC,12/18/87,304,227
ATLANTIC,12/18/87,245,113
ATLANTIC,12/18/87,303,227
ATLANTIC,12/18/87,285,198
ATLANTIC,12/18/87,238,113
ATLANTIC,12/18/87,250,113
ATLANTIC,12/18/87,274,170
ATLANTIC,12/31/87,853,5755
