# name: tension springs
# source: Bryan Cooley&comma; 2002
# importDate: 4/9/2024&comma; 7:34 AM
# description: Force and length measurements of three "tension" springs.
# attribute -- name: length, unit: cm, editable: true
# attribute -- name: force, description: Vernier force sensor reading, unit: N, editable: true
# attribute -- name: spring, editable: true
length,force,spring
8,0,long_narrow
9,2.986,long_narrow
10,4,long_narrow
11,5.05,long_narrow
12,6.09,long_narrow
8.5,2.55,long_narrow
9.5,3.52,long_narrow
11.5,5.47,long_narrow
4.1,0,short_narrow
5.1,3.15,short_narrow
6.1,4.04,short_narrow
7.1,4.93,short_narrow
5.6,3.62,short_narrow
7.6,5.3,short_narrow
4.6,2.71,short_narrow
3.9,0,short_wide
4.9,5.96,short_wide
4.4,4.4,short_wide
5.4,7.59,short_wide
5.9,9.13,short_wide
